date,temp1,temp2,temp3,temp4
01/07/2018 01:00,20.2,20.2,20.2,20.3
01/07/2018 02:00,19.8,20.1,20.1,20.2
01/07/2018 03:00,19.7,19.9,19.9,20.1
01/07/2018 04:00,19.7,19.8,19.8,20
01/07/2018 05:00,19.6,19.7,19.7,19.9
01/07/2018 06:00,19.4,19.7,19.6,19.8
01/07/2018 07:00,19.4,19.7,19.5,19.8
01/07/2018 08:00,19.7,19.8,19.8,19.9
01/07/2018 09:00,20.4,20.2,20.4,20.1
01/07/2018 10:00,21,20.7,20.7,20.4
01/07/2018 11:00,21.4,21.2,21.2,20.8
01/07/2018 12:00,21.7,21.8,21.7,21.1
01/07/2018 13:00,21.7,21.9,21.8,21.3
01/07/2018 14:00,21.8,22,21.8,21.3
01/07/2018 15:00,21.9,22.2,22.1,21.4
01/07/2018 16:00,21.9,22.2,22.2,21.5
01/07/2018 17:00,22,22.2,22.2,21.6
01/07/2018 18:00,21.7,21.9,21.9,21.4
01/07/2018 19:00,21.5,21.6,21.7,21.3
01/07/2018 20:00,21.4,21.4,21.4,21.1
01/07/2018 21:00,21.2,21.2,21.2,21
01/07/2018 22:00,21,20.9,20.8,20.8
01/07/2018 23:00,20.6,20.6,20.6,20.6